FID,LLGNAME,Area,Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province,x,y
,,,1764278.54983358,Kerema Urban LLG,PG020104,Kerema District,PG0201,Gulf Province,PG02,Papua New Guinea,PG,"12",8527.0000004,Kerema Urban,Kerema Urban LLG,Kerema District,Gulf Province,145.7718297450,-7.9636207390
,,,2099138.45655351,Kerowagi Urban LLG,PG100420,Kerowagi District,PG1004,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"7",7911.2046412,Kerowagi Urban,Kerowagi Urban LLG,Kerowagi District,Chimbu (Simbu),144.8571204284,-5.8972424887
,,,256142695.530063,Kewabi Rural LLG,PG070103,Ialibu/Pangia District,PG0701,Southern Highlands Province,PG07,Papua New Guinea,PG,"124",38309.00000091,Kewabi Rural,Kewabi Rural LLG,Ialibu/Pangia District,Southern Highlands,143.9066663786,-6.2989551417
,,,5087175.18751138,Kimbe Urban LLG,PG190209,Talasea District,PG1902,West New Britain Province,PG19,Papua New Guinea,PG,"32",23931.99999943,Kimbe Urban,Kimbe Urban LLG,Talasea District,West New Britain,150.1469790959,-5.5548880922
,,,1330408946.01902,Kira Rural LLG,PG060208,Sohe District,PG0602,Northern (Oro) Province,PG06,Papua New Guinea,PG,"30",3583.00000014,Kira Rural,Kira Rural LLG,Sohe District,Northern (Oro),147.3389612460,-8.1127416543
,,,382739490.690434,Kiriwina Rural LLG,PG050312,Kiriwina-Goodenough District,PG0503,Milne Bay Province,PG05,Papua New Guinea,PG,"99",51879.99999973,Kiriwina Rural,Kiriwina Rural LLG,Kiriwina-Goodenough District,Milne Bay Province,151.0722125894,-8.5653621088
,,,7429425752.55897,Kiunga Rural LLG,PG010206,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,"75",23548.99999995,Kiunga Rural LLG,Kiunga Rural LLG,North Fly District,Western,141.4100541711,-6.0940762412
,,,17051797.1655734,Kiunga Urban LLG,PG010207,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,"15",26777.9999996,Kiunga Urban LLG,Kiunga Urban LLG,North Fly District,Western,141.2910105177,-6.1207660027
,,,2096379294.7323,Kiwai Rural LLG,PG010312,South Fly District,PG0103,Western Province,PG01,Papua New Guinea,PG,"51",27533.000000225,Kiwai Rural LLG,Kiwai Rural LLG,South Fly District,Western,143.3021708101,-8.6235700413
,,,3457503968.91353,Koiari Rural LLG,PG030309,Kairuku - Hiri District,PG0303,Central Province,PG03,Papua New Guinea,PG,"117",32043.00000101,Koiari Rural,Koiari Rural LLG,Hiri-Koiari District,Central,147.4902526317,-9.1964953680
