Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,District,Province
375518458.51121467352,Lai Valley Rural LLG,PG070619,Mendi/Munihu District,PG0706,Southern Highlands Province,PG07,"97",50273.000002,Lai Valley Rural,Mendi/Munihu District,Southern Highlands
2745662564.34654474258,Lake Kopiago Rural LLG,PG210515,Koroba/Kopiago District,PG2105,Hela Province,PG21,"204",40931.999999,Lake Kopiago Rural,Koroba/Kopiago District,Hela
2789911318.16679430008,Lake Kutubu Rural LLG,PG070722,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,"61",29571.000000,Lake Kutubu Rural,Nipa/Kutubu District,Southern Highlands
12634994336.54103279114,Lake Murray Rural LLG,PG010104,Middle Fly District,PG0101,Western Province,PG01,"43",18510.000000,Lake Murray Rural LLG,Middle Fly District,Western
2678422575.68802785873,Lakekamu-Tauri Rural LLG,PG020106,Kerema District,PG0201,Gulf Province,PG02,"46",26681.000001,Lakekamu-Tauri Rural,Kerema District,Gulf Province
699467330.41355943680,Lamari Rural LLG,PG110608,Obura/Wonenara District,PG1106,Eastern Highlands Province,PG11,"117",14073.000000,Lamari Rural,Obura/Wonenara District,Eastern Highlands
2010185328.94521236420,Lassul Baining Rural LLG,PG180103,Gazelle District,PG1801,East New Britain Province,PG18,"48",19390.999999,Lassul Baining Rural,Gazelle District,East New Britain
225947249.45982009172,Lelemadih/Bupichupeu LLG,PG160105,Manus District,PG1601,Manus Province,PG16,"29",9900.000000,Lelemadih/Bupichupeu,Manus District,Manus
115642710.75264850259,Livuan/Reimber Rural LLG,PG180104,Gazelle District,PG1801,East New Britain Province,PG18,"36",38624.999999,Livuan/Reimber Rural,Gazelle District,East New Britain
8150685.66519930493,Lorengau Urban LLG,PG160106,Manus District,PG1601,Manus Province,PG16,"21",11853.000000,Lorengau Urban,Manus District,Manus
51275437.92844186723,Los Negros LLG,PG160107,Manus District,PG1601,Manus Province,PG16,"15",5348.000000,Los Negros,Manus District,Manus
304326193.85399156809,Louisiade Rural LLG,PG050209,Samarai-Murua District,PG0502,Milne Bay Province,PG05,"103",150674.999997,Louisiade Rural,Samarai-Murua District,Milne Bay Province
1263017407.30987167358,Lovongai Rural LLG,PG170102,Kavieng District,PG1701,New Ireland Province,PG17,"85",31882.000000,Lovongai Rural,Kavieng District,New Ireland
181001893.30000260472,Lower Asaro Rural LLG,PG110112,Daulo District,PG1101,Eastern Highlands Province,PG11,"146",60426.215519,Lower Asaro Rural,Daulo District,Eastern Highlands
232755393.89107719064,Lower Benna LLG,PG110811,Unggai/Benna District,PG1108,Eastern Highlands Province,PG11,"138",61446.958506,Lower Benna,Unggai/Benna District,Eastern Highlands
483968035.98576748371,Lower Mendi Rural LLG,PG070207,Imbonggu District,PG0702,Southern Highlands Province,PG07,"138",45347.000000,Lower Mendi Rural,Imbonggu District,Southern Highlands
408073726.84927707911,Lower Wage LLG,PG210413,Komo/Magarima District,PG2104,Hela Province,PG21,"76",42180.650428,Lower Wage,Komo/Magarima District,Hela
166144053.77107495070,Lumusa Rural LLG,PG090510,Mul/Baiyer District,PG0905,Western Highlands Province,PG09,"52",12738.000000,Lumusa Rural,Mul/Baiyer District,Western Highlands
17846079.80387912691,Madang Urban LLG,PG130205,Madang District,PG1302,Madang Province,PG13,"85",53618.000001,Madang Urban,Madang District,Madang
1149759580.88127851486,Maimai Wanwan LLG,PG150217,Nuku District,PG1502,West Sepik (Sandaun) Province,PG15,"22",18654.000000,Maimai Wanwan,Nuku District,West Sepik (Sandaun)
1074028784.58564233780,Maip Muritaka Rural LLG,PG080307,Lagaip/Pogera District,PG0803,Enga Province,PG08,"34",26450.000001,Maip Muritaka Rural,Pogera-Paiela District,Enga
1947415149.65364909172,Makamaka Rural LLG,PG050101,Alotau District,PG0501,Milne Bay Province,PG05,"37",20131.000000,Makamaka Rural,Alotau District,Milne Bay Province
159616206.86316180229,Maprik/Wora Rural LLG,PG140312,Maprik District,PG1403,East Sepik Province,PG14,"39",34280.000000,Maprik/Wora Rural,Maprik District,East Sepik
419302748.85291844606,Maramatana Rural LLG,PG050104,Alotau District,PG0501,Milne Bay Province,PG05,"21",28199.000000,Maramatana Rural,Alotau District,Milne Bay Province
546464759.89696526527,Maramuni Rural LLG,PG080412,Wabag District,PG0804,Enga Province,PG08,"19",7020.000000,Maramuni Rural,Wabag District,Enga
3778483838.73247861862,Marienberg Rural LLG,PG140208,Angoram District,PG1402,East Sepik Province,PG14,"64",37329.999999,Marienberg Rural,Angoram District,East Sepik
604593705.51669859886,Mawase Rural LLG,PG150205,Nuku District,PG1502,West Sepik (Sandaun) Province,PG15,"39",34760.000001,Mawase Rural,Nuku District,West Sepik (Sandaun)
2825212172.28481388092,Mekeo Kuni Rural LLG,PG030310,Kairuku - Hiri District,PG0303,Central Province,PG03,"74",36958.000000,Mekeo Kuni Rural,Kairuku - Hiri District,Central
1414866071.99242782593,Melkoi Rural LLG,PG180312,Pomio District,PG1803,East New Britain Province,PG18,"52",12739.000000,Melkoi Rural,Pomio District,East New Britain
15155534.57968789339,Mendi Urban LLG,PG070620,Mendi/Munihu District,PG0706,Southern Highlands Province,PG07,"39",40918.000000,Mendi Urban,Mendi/Munihu District,Southern Highlands
156579897.92098671198,Mimanalo Rural LLG,PG110214,Goroka District,PG1102,Eastern Highlands Province,PG11,"157",70832.733428,Mimanalo Rural,Goroka District,Eastern Highlands
